 ,2030,TITAN,TER,WEST LINN,OR,97068
 ,4702,SUMMER RUN,DR,WEST LINN,OR,97068
SW,7044,HIGHLAND,CT,WILSONVILLE,OR,97070
SW,8952,MCDONALD,ST,TIGARD,OR,97224
SE,6572,WOODWARD,ST,PORTLAND,OR,97206
SE,2552,BLUEBONNET,CT,HILLSBORO,OR,97123
 ,1837,VINE,CT,FOREST GROVE,OR,97116
SW,10200,TRAPPER,TER,BEAVERTON,OR,97008
SW,14410,120TH,PL,TIGARD,OR,97224
SE,386,16TH,CIR,TROUTDALE,OR,97060
SE,1271,STAPLETON,LOOP,GRESHAM,OR,97080
N,2166,LEWIS,AVE,PORTLAND,OR,97227
SW,8374,9TH,AVE,PORTLAND,OR,97219
 ,6724,APOLLO,RD,WEST LINN,OR,97068
SW,11868,LYNNFIELD,LN,BEAVERTON,OR,97225
 ,19602,FALCON,DR,OREGON CITY,OR,97045
SE,1202,13TH,AVE,CANBY,OR,97013
NE,749,CAMBREY,CT,HILLSBORO,OR,97124
SW,11783,EIDER,AVE,BEAVERTON,OR,97007
SE,5318,160TH,AVE,PORTLAND,OR,97236
SE,7427,AUGUSTA,CT,PORTLAND,OR,97206
NW,2903,SANTANITA,TER,PORTLAND,OR,97210
SW,14757,TOPAZ,CT,BEAVERTON,OR,97007
 ,15598,JEWELBERRY,AVE,SANDY,OR,97055
SE,566,12TH,AVE,HILLSBORO,OR,97123
SW,1932,ELM,ST,PORTLAND,OR,97201
SE,14585,142ND,AVE,HAPPY VALLEY,OR,97015
 ,3262,FOREST,CT,WEST LINN,OR,97068
SE,2724,LAMBERT,ST,PORTLAND,OR,97202
SW,864,1ST,AVE,CANBY,OR,97013
SW,6145,CANYON,CT,PORTLAND,OR,97221
SW,472,8TH,CIR,TROUTDALE,OR,97060
 ,18784,EFFINGER,WAY,OREGON CITY,OR,97045
SE,4452,BRAE,ST,MILWAUKIE,OR,97222
SW,21391,91ST,CT,TUALATIN,OR,97062
SW,288,12TH,AVE,CANBY,OR,97013
SE,6419,TAGGART,ST,PORTLAND,OR,97206
 ,19214,MULBERRY,CT,OREGON CITY,OR,97045
 ,37820,LAWSON,CT,SANDY,OR,97055
SE,542,10TH,AVE,HILLSBORO,OR,97123
 ,5887,KENNY,ST,LAKE OSWEGO,OR,97035
SW,7951,MARA,CT,TIGARD,OR,97224
N,9792,TAFT,AVE,PORTLAND,OR,97203
SE,1313,87TH,AVE,PORTLAND,OR,97216
NE,1398,164TH,AVE,GRESHAM,OR,97230
NE,1146,MORTON,ST,PORTLAND,OR,97211
NW,9454,GERMANTOWN,RD,PORTLAND,OR,97231
SW,15564,HEARTH,CT,BEAVERTON,OR,97007
